SITE,DATE_DEPLOYED,DATE_RETRIEVED,Duration,line,Position,Brush,SampleID,ARTHROPODA,BIVALVIA,GASTROPODA,OPHIUROIDEA_ASTERPODEA,M_FRANCISCANUS,S_PURPURATUS,TOTAL_URCHINS
ANACAPA,5/12/92,5/19/92,7,1,bot,1,-99999,0,0,0,0,0,1,1
ANACAPA,5/12/92,5/19/92,7,1,bot,1,-99999,0,0,0,0,0,2,2
ANACAPA,5/12/92,5/19/92,7,1,top,2,-99999,0,0,0,0,0,4,4
ANACAPA,5/12/92,5/19/92,7,1,top,2,-99999,0,0,0,0,1,3,4
ANACAPA,6/9/92,6/16/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,6/9/92,6/16/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,6/9/92,6/16/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,6/9/92,6/16/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,6/9/92,6/16/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,6/9/92,6/16/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,6/9/92,6/16/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,6/9/92,6/16/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,6/16/92,6/23/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,6/16/92,6/23/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,6/16/92,6/23/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,6/16/92,6/23/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,6/16/92,6/23/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,6/16/92,6/23/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,6/16/92,6/23/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,6/16/92,6/23/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/25/92,9/1/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,8/25/92,9/1/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,8/25/92,9/1/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/25/92,9/1/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/25/92,9/1/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,8/25/92,9/1/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,8/25/92,9/1/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/25/92,9/1/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/1/92,9/8/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/1/92,9/8/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/1/92,9/8/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/1/92,9/8/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/1/92,9/8/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/1/92,9/8/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/1/92,9/8/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/1/92,9/8/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/15/92,9/22/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/15/92,9/22/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/15/92,9/22/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/15/92,9/22/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/15/92,9/22/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/15/92,9/22/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/15/92,9/22/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/15/92,9/22/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/22/92,9/29/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/22/92,9/29/92,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/22/92,9/29/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/22/92,9/29/92,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/22/92,9/29/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/22/92,9/29/92,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/22/92,9/29/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/22/92,9/29/92,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/6/93,8/12/93,6,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,8/6/93,8/12/93,6,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,8/6/93,8/12/93,6,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/6/93,8/12/93,6,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/19/93,8/26/93,7,1,bot,1,-99999,0,0,0,0,0,1,1
ANACAPA,8/19/93,8/26/93,7,1,bot,1,-99999,0,0,0,0,0,1,1
ANACAPA,8/19/93,8/26/93,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/19/93,8/26/93,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/26/93,9/3/93,8,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,8/26/93,9/3/93,8,1,bot,1,-99999,0,0,0,0,0,1,1
ANACAPA,8/26/93,9/3/93,8,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,8/26/93,9/3/93,8,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/3/93,9/9/93,6,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/3/93,9/9/93,6,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/3/93,9/9/93,6,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/3/93,9/9/93,6,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/9/93,9/14/93,5,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/9/93,9/14/93,5,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/9/93,9/14/93,5,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/9/93,9/14/93,5,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/14/93,9/21/93,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/14/93,9/21/93,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/14/93,9/21/93,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/14/93,9/21/93,7,1,top,2,-99999,0,0,0,0,0,0,1
ANACAPA,9/21/93,10/1/93,10,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/21/93,10/1/93,10,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,9/21/93,10/1/93,10,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,9/21/93,10/1/93,10,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,10/1/93,10/22/93,21,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,10/1/93,10/22/93,21,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,10/1/93,10/22/93,21,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,10/1/93,10/22/93,21,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,10/22/93,10/28/93,6,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,10/22/93,10/28/93,6,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,10/22/93,10/28/93,6,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,10/22/93,10/28/93,6,1,top,2,-99999,0,0,0,0,0,0,0
