"","biweek","biweek_year","species","SITE","MEI_runlag2","chla_rollmean_30","SST_rollmean_30","BK_stand_30","kelp_biomass","adults"
"1",23,205,"MF","ANACAPA",2.802,-1.19711928519316,1.86160452481692,-0.128927170549234,-0.780443510276197,1.18165314910309
"2",24,206,"MF","ANACAPA",2.802,-1.15227153098493,1.66283313059552,-0.418178380795023,-0.888699075650436,1.18165314910309
"3",25,207,"MF","ANACAPA",2.802,-1.41604861329531,1.47345352191489,-0.577100310102481,-1.00348718090543,1.18165314910309
"4",26,208,"MF","ANACAPA",2.836,-1.50892577662182,1.42369754167163,-1.07647423859579,-1.05797595149679,1.18165314910309
"5",1,209,"MF","ANACAPA",2.836,-1.39525640654241,1.31611467659288,-1.24537034756689,-1.02787693159748,1.18165314910309
"6",2,210,"MF","ANACAPA",2.767,-1.12866388105369,0.9492626793835,-1.65364676846554,-0.961441263713954,1.07074472418549
"7",3,211,"MF","ANACAPA",2.767,-1.03073055902297,0.514133402515432,-1.65165193253281,-0.869365363153563,1.07074472418549
"8",4,212,"MF","ANACAPA",2.59375,-1.15685106389499,0.318421388073822,-1.6037758701473,-0.745746728356772,1.07074472418549
"9",5,213,"MF","ANACAPA",2.59375,-1.08967239941741,0.332717871158157,-1.38434391754705,-0.612344269325411,1.07074472418549
"10",6,214,"MF","ANACAPA",2.44325,-0.465434331911214,0.324714959596304,-1.56919871397999,-0.493864701817431,1.07074472418549
"11",7,215,"MF","ANACAPA",2.44325,0.215613070088545,0.22926271782637,-1.17532179843483,-0.428343084695825,1.07074472418549
"12",8,216,"MF","ANACAPA",2.52775,0.313581051120451,-0.00756137297054773,-0.149013104768442,-0.379748448562698,1.07074472418549
"13",9,217,"MF","ANACAPA",2.52775,-0.185024671433316,-0.111482687214564,-0.088480152326992,-0.324996902285107,1.07074472418549
"14",10,218,"MF","ANACAPA",2.57875,-0.399732357521739,-0.120029494854596,-0.102237641518231,-0.233800648167582,1.07074472418549
"15",11,219,"MF","ANACAPA",2.57875,0.432242828889389,-0.323860988410056,0.357950371928693,-0.0634887177217339,1.07074472418549
"16",12,220,"MF","ANACAPA",2.57875,0.508543438580325,-0.504742369529764,0.198890867729326,0.146764218952576,1.07074472418549
"17",13,221,"MF","ANACAPA",2.658,0.071625414684116,-0.389418821022259,-0.139566295523791,0.311448979685008,1.07074472418549
"18",14,222,"MF","ANACAPA",2.658,0.263801954822069,-0.240315998283989,0.512745054478788,0.431796427535385,1.07074472418549
"19",15,223,"MF","ANACAPA",2.6035,0.293279393010226,-0.0295499519946724,0.893758717630138,0.509737345004856,1.07074472418549
"20",16,224,"MF","ANACAPA",2.6035,-0.330806266574959,0.313555536809791,0.528038796629701,0.540990020822304,1.07074472418549
"21",17,225,"MF","ANACAPA",2.25225,-1.01718372852481,0.57018293483029,0.846547600555531,0.507327572613935,1.07074472418549
"22",18,226,"MF","ANACAPA",2.25225,-1.30384318113253,0.918338808620238,0.404358968800467,0.383144158079307,1.07074472418549
"23",19,227,"MF","ANACAPA",1.6615,-1.30206532041219,1.29164947496651,-0.144220912700162,0.196036227566007,1.07074472418549
"24",20,228,"MF","ANACAPA",1.6615,-1.28826000199629,1.51919834314348,-0.113633428398307,-0.0438661805391646,1.07074472418549
"25",21,229,"MF","ANACAPA",0.9165,-1.36737819565326,1.60352029498413,-0.300483060763978,-0.344417197168775,1.07074472418549
"26",22,230,"MF","ANACAPA",0.9165,-1.31715058393026,1.65727772359848,-0.222019514076615,-0.710172644311767,1.07074472418549
"27",23,231,"MF","ANACAPA",0.20725,-1.15076103601809,1.51746954291496,-0.112968483087398,-1.13787236712207,1.07074472418549
"28",24,232,"MF","ANACAPA",0.20725,-0.94821926963576,1.08736151817519,0.0938295086055696,-1.64300218137019,1.07074472418549
"29",25,233,"MF","ANACAPA",0.20725,-0.884056671225557,0.776083158568857,-0.320431420091274,-2.26001572028371,1.07074472418549
"30",26,234,"MF","ANACAPA",-0.329,-0.557535736615712,0.488269632938763,-0.565131294506103,-3.00093195782461,1.07074472418549
"31",1,235,"MF","ANACAPA",-0.329,-0.363738114888261,0.202524825450705,-0.657558692722573,-3.60585577877354,1.07074472418549
"32",2,236,"MF","ANACAPA",-0.69425,-0.285497393622082,-0.192492764941908,-0.713414098839001,-3.61155270584728,0.992212111263356
"33",3,237,"MF","ANACAPA",-0.69425,-0.188517693843798,-0.638732880812427,-0.739346965964486,-3.46092948089312,0.992212111263356
"34",4,238,"MF","ANACAPA",-0.8415,-0.425371709611225,-0.825635878005653,-1.45748790174713,-3.37499375342893,0.992212111263356
"35",5,239,"MF","ANACAPA",-0.8415,-0.89421477986075,-0.673541683337672,-1.30056080837241,-3.31456265445134,0.992212111263356
"36",6,240,"MF","ANACAPA",-0.95125,-0.955826728055218,-0.63545014974493,-0.742671692519036,-3.24345109879537,0.992212111263356
"37",7,241,"MF","ANACAPA",-0.95125,-0.26724105715818,-0.774665876500765,-0.344369451284029,-3.16075638125263,0.992212111263356
"38",8,242,"MF","ANACAPA",-1.039,0.0997685197731078,-0.886201627469919,0.151679750654728,-3.04693072003627,0.992212111263356
"39",9,243,"MF","ANACAPA",-1.039,0.0666695645153536,-0.953313445568938,0.109788196067406,-2.83800157147789,0.992212111263356
"40",10,244,"MF","ANACAPA",-1.0145,0.188654284630651,-0.965929685347991,0.552641773133379,-2.61967655479344,0.992212111263356
"41",11,245,"MF","ANACAPA",-1.0145,0.743587354971491,-1.07514418864457,0.505573144339685,-2.38349174098896,0.992212111263356
"42",12,246,"MF","ANACAPA",-1.0145,0.590759282377825,-1.01981336066597,1.80577870763664,-2.11143060856362,0.992212111263356
"43",13,247,"MF","ANACAPA",-1.01325,-0.276672507234004,-0.743431194746652,2.52287472935928,-1.77600527037176,0.992212111263356
"44",14,248,"MF","ANACAPA",-1.01325,-0.483948860943779,-0.406638680227302,2.18707734734981,-1.42373704313046,0.992212111263356
"45",15,249,"MF","ANACAPA",-0.90375,-0.361776818462695,-0.166357036211286,2.17909800361889,-1.09581771506479,0.992212111263356
"46",16,250,"MF","ANACAPA",-0.90375,-0.423898349687304,-0.11130787895649,2.01286167589143,-0.813049808992059,0.992212111263356
"47",17,251,"MF","ANACAPA",-0.69625,-0.835906887531512,0.237556989452274,1.59660591126185,-0.584549903122081,0.992212111263356
"48",18,252,"MF","ANACAPA",-0.69625,-0.814159391874201,0.750044548315886,1.21891697466506,-0.424025123874236,0.992212111263356
"49",19,253,"MF","ANACAPA",-0.57275,-0.663760514966396,0.729988713414262,1.20362323251413,-0.33007373199223,0.992212111263356
"50",20,254,"MF","ANACAPA",-0.57275,-0.541028663494677,0.395284335545598,1.5055084036672,-0.303065032536901,0.992212111263356
"51",21,255,"MF","ANACAPA",-0.52825,-0.649545998098095,0.354444220196735,0.970227428384765,-0.335852704011422,0.992212111263356
"52",22,256,"MF","ANACAPA",-0.52825,-0.868536887333714,0.529362279670579,0.457554593673263,-0.423978068049908,0.992212111263356
"53",23,257,"MF","ANACAPA",-0.52825,-0.899672549426423,0.53077055919081,-0.120947826818316,-0.557614200915211,0.992212111263356
"54",24,258,"MF","ANACAPA",-0.61225,-0.688422897050534,0.414213552388446,-0.427487615147762,-0.695150551490273,0.992212111263356
"55",25,259,"MF","ANACAPA",-0.61225,-0.678144725356082,0.462483544806393,-0.611086403771207,-0.788511370176085,0.992212111263356
"56",26,260,"MF","ANACAPA",-0.77325,-0.931151840402334,0.482053778983754,-1.11496718381623,-0.878950289019678,0.992212111263356
"57",1,261,"MF","ANACAPA",-0.77325,-0.796989450929382,0.247065310126777,-1.03790741056301,-0.862429005167972,0.992212111263356
"58",2,262,"MF","ANACAPA",-0.91175,-0.586404273498568,-0.246366747214693,-0.617661974067982,-0.704842544993232,0.981765542931262
"59",3,263,"MF","ANACAPA",-0.91175,-0.558287979016264,-0.572563169280338,-1.05120631678121,-0.508574861384557,0.981765542931262
"60",4,264,"MF","ANACAPA",-1.016,-0.67973052926813,-0.618055464683376,-1.12169051973766,-0.28725878465845,0.981765542931262
"61",5,265,"MF","ANACAPA",-1.016,-0.884284339901532,-0.650397333946619,-1.14562855093041,-0.0424342301060372,0.981765542931262
"62",6,266,"MF","ANACAPA",-1.06225,-0.846546665915129,-0.628204777684059,-1.23140649603778,0.186874721783254,0.981765542931262
"63",7,267,"MF","ANACAPA",-1.06225,-0.512396456128614,-0.570756678345128,-1.11238128538492,0.35650243986772,0.981765542931262
"64",8,268,"MF","ANACAPA",-1.12625,-0.173692870692492,-0.685303239203495,-0.982716949757495,0.481612509056926,0.981765542931262
"65",9,269,"MF","ANACAPA",-1.12625,0.0437605434970685,-0.799160228582794,-0.732032567544477,0.601883288122019,0.981765542931262
"66",10,270,"MF","ANACAPA",-1.12625,0.156679215103373,-0.715362730229652,-0.0710769285000762,0.7331115487116,0.981765542931262
"67",11,271,"MF","ANACAPA",-1.14675,0.336241922896919,-0.622639652633457,0.396379625069549,0.838839248692997,0.981765542931262
"68",12,272,"MF","ANACAPA",-1.14675,0.715095573255487,-0.535996457751453,0.736166678944501,0.910394313201531,0.981765542931262
"69",13,273,"MF","ANACAPA",-0.9635,1.40018207674317,-0.414291955822078,1.51149291146538,0.974870157596283,0.981765542931262
"70",14,274,"MF","ANACAPA",-0.9635,1.5269309674567,-0.38122166046411,1.43635409133258,1.03093542552854,0.981765542931262
"71",15,275,"MF","ANACAPA",-0.61875,0.539651092606905,-0.12838203219491,1.02475294387937,1.06824770741228,0.981765542931262
"72",16,276,"MF","ANACAPA",-0.61875,-0.67604025871092,0.303862700938497,0.929000819108347,1.07473556956313,0.981765542931262
"73",17,277,"MF","ANACAPA",-0.31125,-0.790344290152708,0.69485940500052,1.02076327201391,1.05676208955628,0.981765542931262
"74",18,278,"MF","ANACAPA",-0.31125,-0.550487987641419,0.919348889692789,1.3778389039725,1.02532279584822,0.981765542931262
"75",19,279,"MF","ANACAPA",-0.0722500000000002,-0.312384921938649,0.868310885895267,1.05866515473577,0.960980050198385,0.981765542931262
"76",20,280,"MF","ANACAPA",-0.0722500000000002,-0.314481978018876,0.903158534700084,0.722202827415394,0.857408033299558,0.981765542931262
"77",21,281,"MF","ANACAPA",-0.00225000000000018,-0.644343740330696,0.997765798569278,0.589213765233415,0.737370216253683,0.981765542931262
"78",22,282,"MF","ANACAPA",-0.00225000000000018,-0.835516173985757,0.946708356812253,0.192906359931138,0.569398504245102,0.981765542931262
"79",23,283,"MF","ANACAPA",-0.00225000000000018,-0.890030082054914,1.01991948632265,-0.153530147052898,0.344255888537654,0.981765542931262
"80",24,284,"MF","ANACAPA",-0.119,-0.902596875569172,1.02631016242922,-0.119617936196495,0.03833080964325,0.981765542931262
"81",25,285,"MF","ANACAPA",-0.119,-0.85210620055427,0.7878349889713,-0.261251287420296,-0.337569896340864,0.981765542931262
"82",26,286,"MF","ANACAPA",-0.21575,-0.711336034802367,0.40295700464069,-0.402884638644096,-0.610124687449619,0.981765542931262
"83",1,287,"MF","ANACAPA",-0.21575,-0.427054421254086,-0.0983128453448786,-0.531884028960609,-0.808167451908739,0.981765542931262
"84",2,288,"MF","ANACAPA",-0.35175,-0.556927068986494,-0.33016424278919,-1.04721664491575,-1.15978850934137,1.02727637869945
"85",3,289,"MF","ANACAPA",-0.35175,-0.679283771612048,-0.336049882064451,-1.47943109700716,-1.20648188793089,1.02727637869945
"86",4,290,"MF","ANACAPA",-0.457,-0.639692269454169,-0.441185244430838,-1.7181464636238,-1.12152526663036,1.02727637869945
"87",5,291,"MF","ANACAPA",-0.457,-0.639215803232707,-0.604322313784304,-1.35309148793429,-1.00676112331497,1.02727637869945
"88",6,292,"MF","ANACAPA",-0.5285,-0.298722069827835,-0.766128790619242,-0.972077824782938,-0.94127014223929,1.02727637869945
"89",7,293,"MF","ANACAPA",-0.5285,-0.225014651201699,-0.892805961819082,-0.865686575037359,-1.09780361558781,1.02727637869945
"90",8,294,"MF","ANACAPA",-0.602,-0.473021097101165,-0.96369585014058,-0.878985481255557,-1.1201021987017,1.02727637869945
