SITE,DATE_DEPLOYED,DATE_RETRIEVED,Duration,line,Position,Brush,SampleID,ARTHROPODA,BIVALVIA,GASTROPODA,OPHIUROIDEA_ASTERPODEA,M_FRANCISCANUS,S_PURPURATUS,TOTAL_URCHINS
ANACAPA,05/12/1992,05/19/1992,7,1,bot,1,-99999,0,0,0,0,0,1,1
ANACAPA,05/12/1992,05/19/1992,7,1,bot,1,-99999,0,0,0,0,0,2,2
ANACAPA,05/12/1992,05/19/1992,7,1,top,2,-99999,0,0,0,0,0,4,4
ANACAPA,05/12/1992,05/19/1992,7,1,top,2,-99999,0,0,0,0,1,3,4
ANACAPA,06/09/1992,06/16/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,06/09/1992,06/16/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,06/09/1992,06/16/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,06/09/1992,06/16/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,06/09/1992,06/16/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,06/09/1992,06/16/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,06/09/1992,06/16/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,06/09/1992,06/16/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,06/16/1992,06/23/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,06/16/1992,06/23/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,06/16/1992,06/23/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,06/16/1992,06/23/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,06/16/1992,06/23/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,06/16/1992,06/23/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,06/16/1992,06/23/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,06/16/1992,06/23/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,08/25/1992,09/01/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,08/25/1992,09/01/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,08/25/1992,09/01/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,08/25/1992,09/01/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,08/25/1992,09/01/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,08/25/1992,09/01/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,08/25/1992,09/01/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,08/25/1992,09/01/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/01/1992,09/08/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/01/1992,09/08/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/01/1992,09/08/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/01/1992,09/08/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/01/1992,09/08/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/01/1992,09/08/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/01/1992,09/08/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/01/1992,09/08/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/15/1992,09/22/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/15/1992,09/22/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/15/1992,09/22/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/15/1992,09/22/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/15/1992,09/22/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/15/1992,09/22/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/15/1992,09/22/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/15/1992,09/22/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/22/1992,09/29/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/22/1992,09/29/1992,7,1,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/22/1992,09/29/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/22/1992,09/29/1992,7,1,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/22/1992,09/29/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/22/1992,09/29/1992,7,2,bot,1,-99999,0,0,0,0,0,0,0
ANACAPA,09/22/1992,09/29/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,09/22/1992,09/29/1992,7,2,top,2,-99999,0,0,0,0,0,0,0
ANACAPA,08/06/1993,08/12/1993,6,1,bot,1,-99999,0,0,0,0,0,0,0
